TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:15:46.6805900,374,44
2023-11-16 18:15:51.2224670,879,55
2023-11-16 18:15:52.5732450,91,16
2023-11-16 18:15:54.4260870,1313,142
2023-11-16 18:15:55.0176690,242,14
2023-11-16 18:15:55.3808030,394,124
2023-11-16 18:15:56.2631480,1315,174
2023-11-16 18:15:57.2267160,389,90
2023-11-16 18:15:58.1114940,120,12
2023-11-16 18:15:59.5671350,206,162
2023-11-16 18:15:59.7304330,197,152
2023-11-16 18:16:00.7783700,388,54
2023-11-16 18:16:04.1015080,2584,170
2023-11-16 18:16:04.8411030,126,194
2023-11-16 18:16:05.6600290,2548,116
2023-11-16 18:16:06.6257870,4081,74
2023-11-16 18:16:07.3389430,191,217
2023-11-16 18:16:08.0506550,203,217
2023-11-16 18:16:09.3934620,126,172
2023-11-16 18:16:10.0519930,209,181
2023-11-16 18:16:11.4489750,437,88
2023-11-16 18:16:11.7620120,203,138
2023-11-16 18:16:11.9304300,4073,58
2023-11-16 18:16:12.5976970,1087,401
2023-11-16 18:16:13.0876470,412,102
2023-11-16 18:16:14.0108560,203,217
2023-11-16 18:16:14.7708240,64,174
2023-11-16 18:16:15.2591250,1352,158
2023-11-16 18:16:15.4449690,378,58
2023-11-16 18:16:16.3666680,4074,50
2023-11-16 18:16:17.9497610,212,183
2023-11-16 18:16:18.4408190,407,131
2023-11-16 18:16:19.0690950,1029,399
2023-11-16 18:16:20.0941180,203,217
2023-11-16 18:16:20.2073600,181,253
2023-11-16 18:16:20.4292920,1119,414
2023-11-16 18:16:20.6131190,1313,179
2023-11-16 18:16:21.9746590,400,102
2023-11-16 18:16:23.2010070,203,162
2023-11-16 18:16:23.8053960,2,93
2023-11-16 18:16:24.8355200,372,60
2023-11-16 18:16:25.2296340,1104,394
2023-11-16 18:16:25.7725050,4088,37
2023-11-16 18:16:26.0047170,1118,426
2023-11-16 18:16:26.3257810,1133,385
